Date,Price,Open,High,Low,Vol,Change%
"Sep 07, 2023","1,942.50","1,942.20","1,947.90","1,940.30",117.17K,-0.09%
"Sep 06, 2023","1,944.20","1,951.50","1,954.50","1,940.00",148.78K,-0.43%
"Sep 05, 2023","1,952.60","1,966.70","1,972.60","1,950.60",192.79K,0.00%
"Sep 04, 2023","1,952.60","1,966.70","1,972.60","1,950.60",192.79K,-0.74%
"Sep 01, 2023","1,967.10","1,966.40","1,980.20","1,960.70",160.73K,+0.06%
"Aug 31, 2023","1,965.90","1,970.20","1,974.90","1,965.50",133.71K,-0.36%
"Aug 30, 2023","1,973.00","1,966.00","1,977.10","1,962.80",142.38K,+0.40%
"Aug 29, 2023","1,965.10","1,948.10","1,966.50","1,941.70",174.22K,+0.94%
"Aug 28, 2023","1,946.80","1,944.00","1,954.20","1,940.10",115.55K,+0.36%
"Aug 25, 2023","1,939.90","1,944.90","1,950.40","1,931.00",166.99K,-0.37%
"Aug 24, 2023","1,947.10","1,944.90","1,951.30","1,939.20",137.39K,-0.05%
"Aug 23, 2023","1,948.10","1,926.80","1,949.70","1,926.20",170.04K,+1.15%
"Aug 22, 2023","1,926.00","1,924.00","1,933.20","1,917.50",131.09K,+0.16%
"Aug 21, 2023","1,923.00","1,918.40","1,927.90","1,913.60",138.11K,+0.34%
"Aug 18, 2023","1,916.50","1,919.20","1,926.00","1,915.90",114.74K,+0.07%
"Aug 17, 2023","1,915.20","1,922.40","1,933.50","1,914.20",152.33K,-0.68%
"Aug 16, 2023","1,928.30","1,933.10","1,938.20","1,922.00",128.61K,-0.36%
"Aug 15, 2023","1,935.20","1,939.40","1,944.30","1,927.50",167.15K,-0.45%
"Aug 14, 2023","1,944.00","1,945.60","1,948.20","1,934.20",120.98K,-0.13%
"Aug 11, 2023","1,946.60","1,944.90","1,953.60","1,942.70",122.32K,-0.12%
"Aug 10, 2023","1,948.90","1,947.70","1,963.50","1,944.40",168.26K,-0.09%
"Aug 09, 2023","1,950.60","1,959.30","1,966.10","1,947.20",139.26K,-0.47%
"Aug 08, 2023","1,959.90","1,971.50","1,972.80","1,956.50",142.34K,-0.51%
"Aug 07, 2023","1,970.00","1,977.60","1,981.70","1,966.10",104.41K,-0.31%
"Aug 04, 2023","1,976.10","1,969.60","1,984.20","1,954.50",156.42K,+0.37%
"Aug 03, 2023","1,968.80","1,970.80","1,974.50","1,964.50",141.35K,-0.31%
"Aug 02, 2023","1,975.00","1,988.90","1,992.20","1,969.10",169.66K,-0.19%
"Aug 01, 2023","1,978.80","2,004.20","2,004.40","1,978.30",167.76K,-1.51%
"Jul 31, 2023","2,009.20","1,997.90","2,010.90","1,986.70",139.96K,+0.47%
"Jul 28, 2023","1,999.90","1,985.30","2,002.00","1,983.90",159.60K,+1.76%
"Jul 27, 2023","1,965.30","1,991.80","2,002.00","1,961.40",16.91K,-1.23%
"Jul 26, 2023","1,989.70","1,985.90","1,999.30","1,982.80",11.94K,+0.33%
"Jul 25, 2023","1,983.10","1,976.10","1,986.20","1,971.10",8.63K,+0.08%
"Jul 24, 2023","1,981.60","1,983.20","1,988.70","1,974.70",6.44K,-0.21%
"Jul 21, 2023","1,985.80","1,991.90","1,995.00","1,978.50",3.03K,-0.22%
"Jul 20, 2023","1,990.20","1,998.70","2,008.50","1,987.10",3.48K,-0.49%
"Jul 19, 2023","1,999.90","2,001.50","2,003.40","1,992.60",3.73K,0.00%
"Jul 18, 2023","1,999.80","1,977.70","2,006.80","1,977.70",6.09K,+1.23%
"Jul 17, 2023","1,975.50","1,977.20","1,982.50","1,968.50",2.11K,-0.40%
"Jul 14, 2023","1,983.40","1,984.40","1,986.70","1,974.50",3.78K,+0.03%
"Jul 13, 2023","1,982.90","1,981.10","1,987.20","1,976.20",1.91K,+0.11%
"Jul 12, 2023","1,980.80","1,957.30","1,984.00","1,957.30",3.81K,+1.26%
"Jul 11, 2023","1,956.20","1,949.80","1,963.50","1,949.80",2.97K,+0.31%
"Jul 10, 2023","1,950.10","1,949.40","1,951.50","1,937.20",2.79K,-0.08%
"Jul 07, 2023","1,951.60","1,936.70","1,960.00","1,934.70",2.35K,+0.88%
"Jul 06, 2023","1,934.60","1,943.00","1,953.00","1,927.60",3.17K,-0.60%
"Jul 05, 2023","1,946.20","1,948.00","1,961.50","1,942.00",1.97K,+0.99%
"Jul 04, 2023","1,927.10","1,929.10","1,942.90","1,922.10",245.93K,-1.10%
"Jul 03, 2023","1,948.60","1,945.40","1,958.80","1,937.00",1.86K,+0.01%
"Jun 30, 2023","1,948.50","1,935.60","1,949.70","1,927.80",2.60K,+0.60%
"Jun 29, 2023","1,936.80","1,935.50","1,940.00","1,919.60",2.43K,-0.23%
"Jun 28, 2023","1,941.30","1,943.10","1,945.10","1,930.80",1.53K,-0.09%
"Jun 27, 2023","1,943.00","1,951.80","1,959.00","1,939.60",1.84K,-0.52%
"Jun 26, 2023","1,953.10","1,952.80","1,962.00","1,950.60",0.72K,+0.22%
"Jun 23, 2023","1,948.90","1,942.80","1,967.10","1,939.10",1.76K,+0.30%
"Jun 22, 2023","1,943.00","1,963.10","1,963.40","1,942.30",1.66K,-1.09%
"Jun 21, 2023","1,964.40","1,967.50","1,969.60","1,949.60",3.72K,-0.14%
"Jun 20, 2023","1,967.20","1,989.40","1,990.80","1,960.40",2.02K,+1.00%
"Jun 19, 2023","1,947.70","1,970.70","1,971.80","1,940.80",250.14K,-2.16%
"Jun 16, 2023","1,990.70","1,989.20","1,999.50","1,985.00",0.96K,+0.03%
"Jun 15, 2023","1,990.20","1,975.70","1,992.00","1,956.00",1.82K,+0.10%
"Jun 14, 2023","1,988.30","1,975.70","1,993.00","1,972.30",1.59K,+0.52%
"Jun 13, 2023","1,978.10","1,991.70","2,005.10","1,972.80",2.33K,-0.56%
"Jun 12, 2023","1,989.30","1,993.80","2,000.40","1,982.90",1.38K,-0.38%
"Jun 09, 2023","1,996.80","2,000.20","2,006.40","1,990.60",1.06K,-0.07%
"Jun 08, 2023","1,998.10","1,977.20","2,005.00","1,976.50",1.69K,+1.02%
"Jun 07, 2023","1,977.90","1,999.50","2,005.30","1,975.00",2.06K,-1.15%
"Jun 06, 2023","2,001.00","1,997.30","2,002.20","1,989.90",0.86K,+0.36%
"Jun 05, 2023","1,993.90","1,982.40","1,999.50","1,973.90",0.96K,+0.24%
"Jun 02, 2023","1,989.10","2,013.60","2,020.00","1,983.60",2.17K,-1.29%
"Jun 01, 2023","2,015.10","2,000.30","2,019.50","1,990.00",1.68K,+0.67%
"May 31, 2023","2,001.70","1,996.40","2,011.90","1,991.40",1.28K,+0.25%
"May 30, 2023","1,996.70","1,980.80","2,000.80","1,970.00",2.17K,+0.99%
"May 29, 2023","1,977.10","1,961.30","1,981.90","1,949.60",264.37K,+0.71%
"May 26, 2023","1,963.10","1,961.80","1,975.70","1,954.70",130.07K,+0.04%
"May 25, 2023","1,962.30","1,978.00","1,983.90","1,957.60",112.69K,-1.05%
"May 24, 2023","1,983.10","1,995.60","2,006.20","1,976.80",77.05K,-0.49%
"May 23, 2023","1,992.80","1,992.40","1,998.20","1,974.20",65.64K,-0.15%
"May 22, 2023","1,995.70","1,998.40","2,003.50","1,989.30",48.37K,-0.23%
"May 19, 2023","2,000.30","1,979.30","2,005.80","1,974.90",29.51K,+1.11%
"May 18, 2023","1,978.30","2,004.20","2,007.00","1,973.00",31.21K,-1.27%
"May 17, 2023","2,003.70","2,012.10","2,015.90","1,997.10",37.48K,-0.42%
"May 16, 2023","2,012.20","2,040.80","2,042.00","2,008.50",27.28K,-1.46%
"May 15, 2023","2,042.10","2,033.00","2,046.50","2,030.60",41.70K,+0.15%
